Step_Number,Intensity
1,21.0
2,13.0
3,17.0
4,17.0
5,14.0
6,20.0
7,17.0
8,15.0
9,19.0
10,15.0
11,16.0
12,20.0
13,15.0
14,17.0
15,19.0
16,15.0
17,19.0
18,17.0
19,15.0
20,22.0
21,19.0
22,17.0
23,22.0
24,18.0
25,19.0
26,25.0
27,17.0
28,9.0
29,14.0
30,16.0
31,39.0
32,28.0
33,23.0
34,31.0
35,28.0
36,27.0
37,34.0
38,31.0
39,30.0
40,37.0
41,34.0
42,36.0
43,42.0
44,37.0
45,40.0
46,42.0
47,39.0
48,44.0
49,44.0
50,43.0
51,50.0
52,46.0
53,47.0
54,53.0
55,48.0
56,52.0
57,56.0
58,49.0
59,56.0
60,57.0
61,52.0
62,55.0
63,60.0
64,54.0
65,60.0
66,59.0
67,57.0
68,61.0
69,59.0
70,62.0
71,60.0
72,57.0
73,64.0
74,60.0
75,56.0
76,62.0
77,57.0
78,56.0
79,60.0
80,52.0
81,55.0
82,55.0
83,49.0
84,52.0
85,49.0
86,44.0
87,50.0
88,41.0
89,40.0
90,43.0
91,35.0
92,31.0
93,47.0
94,21.0
95,46.0
96,35.0
97,27.0
98,33.0
99,30.0
100,28.0
101,35.0
102,30.0
103,32.0
104,39.0
105,32.0
106,41.0
107,43.0
108,41.0
109,49.0
110,49.0
111,48.0
112,57.0
113,53.0
114,58.0
115,66.0
116,64.0
117,69.0
118,74.0
119,71.0
120,79.0
121,80.0
122,76.0
123,84.0
124,87.0
125,73.0
126,89.0
127,74.0
128,77.0
129,96.0
130,83.0
131,73.0
132,95.0
133,76.0
134,81.0
135,80.0
136,75.0
137,79.0
138,72.0
139,70.0
140,74.0
141,68.0
142,69.0
143,69.0
144,63.0
145,67.0
146,62.0
147,59.0
148,63.0
149,60.0
150,62.0
151,68.0
152,64.0
153,74.0
154,81.0
155,81.0
156,94.0
157,99.0
158,105.0
159,118.0
160,119.0
161,132.0
162,148.0
163,155.0
164,171.0
165,183.0
166,186.0
167,201.0
168,205.0
169,209.0
170,218.0
171,213.0
172,216.0
173,219.0
174,209.0
175,209.0
176,207.0
177,194.0
178,194.0
179,182.0
180,179.0
181,173.0
182,165.0
183,156.0
184,152.0
185,141.0
186,138.0
187,134.0
188,125.0
189,127.0
190,122.0
191,114.0
192,118.0
193,109.0
194,103.0
195,108.0
196,93.0
197,96.0
198,95.0
199,89.0
200,89.0
201,87.0
202,80.0
203,81.0
204,83.0
205,74.0
206,76.0
207,75.0
208,71.0
209,71.0
210,66.0
211,65.0
212,63.0
213,57.0
214,60.0
215,58.0
216,52.0
217,55.0
218,49.0
219,50.0
220,52.0
221,44.0
222,47.0
223,49.0
224,41.0
225,49.0
226,41.0
227,42.0
228,43.0
229,39.0
230,42.0
231,41.0
232,37.0
233,40.0
234,39.0
235,33.0
236,40.0
237,35.0
238,33.0
239,37.0
240,30.0
241,30.0
242,33.0
243,27.0
244,31.0
245,28.0
246,26.0
247,29.0
248,24.0
249,23.0
250,27.0
251,19.0
252,23.0
253,25.0
254,18.0
255,24.0
256,24.0
257,18.0
258,13.0
259,16.0
260,20.0
261,22.0
262,17.0
263,20.0
264,20.0
265,15.0
266,19.0
267,20.0
268,17.0
269,22.0
270,18.0
271,17.0
272,22.0
273,17.0
274,20.0
275,20.0
276,16.0
277,12.0
278,23.0
279,13.0
280,23.0
281,22.0
282,17.0
283,19.0
284,22.0
285,16.0
286,24.0
287,18.0
288,18.0
289,23.0
290,15.0
291,18.0
292,22.0
293,17.0
294,19.0
295,22.0
296,17.0
297,20.0
298,21.0
299,7.0
300,19.0
