Step_Number,Intensity
1,20.0
2,14.0
3,15.0
4,12.0
5,13.0
6,13.0
7,20.0
8,9.0
9,17.0
10,12.0
11,20.0
12,11.0
13,12.0
14,13.0
15,14.0
16,4.0
17,22.0
18,22.0
19,11.0
20,18.0
21,16.0
22,16.0
23,19.0
24,19.0
25,19.0
26,22.0
27,21.0
28,22.0
29,25.0
30,24.0
31,25.0
32,28.0
33,28.0
34,29.0
35,33.0
36,33.0
37,37.0
38,41.0
39,39.0
40,42.0
41,45.0
42,44.0
43,48.0
44,50.0
45,49.0
46,52.0
47,53.0
48,53.0
49,58.0
50,58.0
51,58.0
52,63.0
53,63.0
54,64.0
55,68.0
56,67.0
57,69.0
58,70.0
59,70.0
60,72.0
61,74.0
62,74.0
63,76.0
64,77.0
65,75.0
66,79.0
67,80.0
68,79.0
69,82.0
70,83.0
71,80.0
72,83.0
73,82.0
74,81.0
75,82.0
76,82.0
77,78.0
78,82.0
79,79.0
80,77.0
81,77.0
82,73.0
83,71.0
84,71.0
85,66.0
86,62.0
87,63.0
88,57.0
89,54.0
90,53.0
91,48.0
92,46.0
93,45.0
94,41.0
95,40.0
96,39.0
97,35.0
98,34.0
99,36.0
100,34.0
101,35.0
102,37.0
103,37.0
104,40.0
105,44.0
106,44.0
107,47.0
108,52.0
109,52.0
110,59.0
111,61.0
112,62.0
113,68.0
114,73.0
115,74.0
116,81.0
117,84.0
118,87.0
119,93.0
120,95.0
121,97.0
122,103.0
123,102.0
124,103.0
125,108.0
126,106.0
127,107.0
128,109.0
129,106.0
130,106.0
131,105.0
132,100.0
133,98.0
134,95.0
135,89.0
136,89.0
137,84.0
138,78.0
139,78.0
140,74.0
141,69.0
142,68.0
143,64.0
144,60.0
145,60.0
146,54.0
147,52.0
148,51.0
149,47.0
150,47.0
151,49.0
152,49.0
153,53.0
154,58.0
155,60.0
156,67.0
157,73.0
158,77.0
159,84.0
160,90.0
161,97.0
162,109.0
163,118.0
164,124.0
165,136.0
166,141.0
167,142.0
168,150.0
169,151.0
170,153.0
171,155.0
172,155.0
173,153.0
174,153.0
175,149.0
176,146.0
177,145.0
178,137.0
179,132.0
180,129.0
181,121.0
182,116.0
183,113.0
184,105.0
185,101.0
186,99.0
187,93.0
188,91.0
189,88.0
190,83.0
191,81.0
192,79.0
193,73.0
194,70.0
195,66.0
196,61.0
197,60.0
198,58.0
199,54.0
200,53.0
201,52.0
202,48.0
203,47.0
204,48.0
205,44.0
206,43.0
207,43.0
208,39.0
209,38.0
210,37.0
211,33.0
212,32.0
213,31.0
214,28.0
215,28.0
216,27.0
217,23.0
218,24.0
219,24.0
220,21.0
221,22.0
222,21.0
223,18.0
224,20.0
225,19.0
226,17.0
227,18.0
228,18.0
229,15.0
230,18.0
231,16.0
232,14.0
233,18.0
234,15.0
235,14.0
236,17.0
237,14.0
238,14.0
239,16.0
240,14.0
241,13.0
242,15.0
243,12.0
244,13.0
245,15.0
246,11.0
247,13.0
248,14.0
249,11.0
250,13.0
251,12.0
252,11.0
253,14.0
254,12.0
255,10.0
256,13.0
257,12.0
258,11.0
259,13.0
260,11.0
261,11.0
262,13.0
263,10.0
264,11.0
265,13.0
266,10.0
267,12.0
268,14.0
269,11.0
270,12.0
271,13.0
272,11.0
273,13.0
274,13.0
275,10.0
276,12.0
277,13.0
278,11.0
279,14.0
280,13.0
281,11.0
282,14.0
283,12.0
284,11.0
285,14.0
286,13.0
287,11.0
288,14.0
289,12.0
290,12.0
291,13.0
292,13.0
293,12.0
294,14.0
295,12.0
296,12.0
297,14.0
298,13.0
299,12.0
300,14.0
